Model,CL,Mode,Median of Throughput,Median of Total CPU,Median of Memory,Median of Power,Median of GPU,Median of GPU Memory,Average of mAP
frcnn,1,MODE_10W_2CORE,3.79,73.57,3214.28,8090.00,98.00,1266.54,62.50
frcnn,1,MODE_10W_4CORE,3.76,80.00,3220.75,8376.00,90.00,1266.54,62.50
frcnn,1,MODE_10W_DESKTOP,2.94,51.95,3222.76,8786.00,88.00,1266.54,62.50
frcnn,1,MODE_15W_2CORE,4.53,68.96,3212.98,11776.00,86.00,1266.54,62.50
frcnn,1,MODE_15W_4CORE,4.47,81.02,3222.74,11591.00,69.00,1266.54,62.50
frcnn,1,MODE_15W_6CORE,4.47,84.99,3243.71,11550.00,96.00,1266.54,62.50
frcnn,1,MODE_20W_2CORE,4.68,74.49,3213.60,11366.00,77.00,1266.54,62.50
frcnn,1,MODE_20W_4CORE,4.61,86.09,3226.10,9093.00,95.00,1266.54,62.50
frcnn,1,MODE_20W_6CORE,4.63,86.70,3246.93,12554.00,94.00,1266.54,62.50
frcnn,2,MODE_10W_2CORE,3.33,71.60,5802.89,8970.00,99.00,2533.08,62.50
frcnn,2,MODE_10W_4CORE,3.16,77.72,5817.88,8960.00,99.00,2533.08,62.50
frcnn,2,MODE_10W_DESKTOP,2.18,45.44,5793.91,8273.00,99.00,2533.08,62.50
frcnn,2,MODE_15W_2CORE,4.16,75.23,5803.75,12001.00,99.00,2533.08,62.50
frcnn,2,MODE_15W_4CORE,3.97,85.52,5778.40,12083.00,98.00,2533.08,62.50
frcnn,2,MODE_15W_6CORE,3.94,85.38,5774.77,12226.00,99.00,2533.08,62.50
frcnn,2,MODE_20W_2CORE,4.39,69.86,5801.45,13081.00,99.00,2533.08,62.50
frcnn,2,MODE_20W_4CORE,4.15,84.44,5791.42,12984.00,98.00,2533.08,62.50
frcnn,2,MODE_20W_6CORE,4.17,86.04,5807.99,13092.00,99.00,2533.08,62.50
frcnn,3,MODE_15W_4CORE,5.85,91.22,5599.47,12124.00,98.00,3799.62,62.50
frcnn,3,MODE_15W_6CORE,5.89,96.18,5619.97,12206.00,99.00,3799.62,62.50
frcnn,3,MODE_20W_2CORE,6.42,75.76,5677.64,13056.00,99.00,3799.62,62.50
frcnn,3,MODE_20W_4CORE,6.13,90.34,5444.04,12943.00,98.00,3799.62,62.50
frcnn,3,MODE_20W_6CORE,6.15,89.07,5411.36,13148.00,99.00,3799.62,62.50
retinanet,1,MODE_10W_2CORE,1.36,43.32,3551.89,10351.75,99.00,1274.54,81.25
retinanet,1,MODE_10W_4CORE,1.35,52.50,3561.26,10382.50,99.00,1274.54,81.25
retinanet,1,MODE_10W_DESKTOP,0.98,37.44,3562.76,9768.50,99.00,1274.54,81.25
retinanet,1,MODE_15W_2CORE,1.58,46.31,3551.46,14379.00,99.00,1274.54,81.25
retinanet,1,MODE_15W_4CORE,1.56,46.37,3559.66,14307.13,99.00,1274.54,81.25
retinanet,1,MODE_15W_6CORE,1.55,44.45,3591.19,14527.25,99.00,1274.54,81.25
retinanet,1,MODE_20W_2CORE,1.75,38.39,3552.15,15871.50,99.00,1274.54,81.25
retinanet,1,MODE_20W_4CORE,1.72,47.13,3559.86,15953.50,99.00,1274.54,81.25
retinanet,1,MODE_20W_6CORE,1.73,50.58,3590.68,15851.00,99.00,1274.54,81.25
retinanet,2,MODE_10W_2CORE,1.10,47.91,6013.40,9922.13,99.00,2549.08,81.25
retinanet,2,MODE_10W_4CORE,1.06,63.92,6046.05,9711.75,99.00,2549.08,81.25
retinanet,2,MODE_10W_DESKTOP,0.69,33.34,6035.16,8680.38,99.00,2549.08,81.25
retinanet,2,MODE_15W_2CORE,1.32,35.41,6041.95,14204.88,99.00,2549.08,81.25
retinanet,2,MODE_15W_4CORE,1.30,51.35,6046.79,13790.13,99.00,2549.08,81.25
retinanet,2,MODE_15W_6CORE,1.29,54.78,6030.99,13997.75,99.00,2549.08,81.25
retinanet,2,MODE_20W_2CORE,1.45,44.34,6057.02,15441.00,99.00,2549.08,81.25
retinanet,2,MODE_20W_4CORE,1.42,56.12,6041.70,15193.13,99.00,2549.08,81.25
retinanet,2,MODE_20W_6CORE,1.42,59.13,6061.06,15354.25,99.00,2549.08,81.25
